,0,1,2,3,4,5,6,7,8,9,10
0,Sven,Lone Druid,Venomancer,Clockwerk,Shadow Shaman,Invoker,Gyrocopter,Anti-Mage,Alchemist,Slark,2
1,Riki,Tinker,Puck,Leshrac,Nyx Assassin,Slardar,Sand King,Spectre,Necrolyte,Warlock,1
2,Invoker,Mirana,Pudge,Magnus,Keeper of the Light,Rubick,Tidehunter,Queen of Pain,Faceless Void,Sniper,2
3,Riki,Centaur Warrunner,Treant Protector,Queen of Pain,Broodmother,Rubick,Weaver,Troll Warlord,Alchemist,Drow Ranger,1
4,Razor,Kunkka,Drow Ranger,Leshrac,Zeus,Riki,Bane,Visage,Invoker,Timbersaw,1
5,Sand King,Shadow Shaman,Silencer,Gyrocopter,Meepo,Nyx Assassin,Slark,Mirana,Rubick,Queen of Pain,2
6,Morphling,Omniknight,Pudge,Crystal Maiden,Razor,Troll Warlord,Tidehunter,Lina,Dark Seer,Gyrocopter,1
7,Brewmaster,Leshrac,Ogre Magi,Kunkka,Riki,Disruptor,Juggernaut,Tiny,Enigma,Bounty Hunter,1
8,Slardar,Earthshaker,Invoker,Slark,Doom,Necrolyte,Timbersaw,Bounty Hunter,Huskar,Razor,1
9,Dazzle,Naga Siren,Ogre Magi,Pudge,Nature's Prophet,Chen,Puck,Timbersaw,Magnus,Ursa,2
10,Wisp,Sven,Pudge,Broodmother,Lion,Puck,Lone Druid,Doom,Batrider,Chaos Knight,1
11,Alchemist,Beastmaster,Windrunner,Crystal Maiden,Invoker,Zeus,Nature's Prophet,Luna,Warlock,Drow Ranger,2
12,Omniknight,Luna,Rubick,Batrider,Phantom Lancer,Magnus,Bounty Hunter,Witch Doctor,Gyrocopter,Lina,1
13,Slark,Kunkka,Spectre,Rubick,Bane,Storm Spirit,Puck,Nature's Prophet,Jakiro,Clinkz,1
14,Ogre Magi,Ursa,Clockwerk,Dazzle,Tidehunter,Silencer,Naga Siren,Invoker,Phantom Assassin,Riki,1
15,Puck,Rubick,Anti-Mage,Invoker,Crystal Maiden,Windrunner,Brewmaster,Lone Druid,Shadow Fiend,Lion,2
16,Bane,Clinkz,Tinker,Juggernaut,Silencer,Nyx Assassin,Ancient Apparition,Viper,Chaos Knight,Wisp,2
17,Chaos Knight,Venomancer,Leshrac,Templar Assassin,Pudge,Kunkka,Sand King,Keeper of the Light,Dragon Knight,Queen of Pain,1
18,Shadow Fiend,Queen of Pain,Nature's Prophet,Kunkka,Rubick,Disruptor,Clockwerk,Pudge,Beastmaster,Skeleton King,2
19,Drow Ranger,Tidehunter,Queen of Pain,Gyrocopter,Venomancer,Anti-Mage,Windrunner,Shadow Fiend,Sven,Crystal Maiden,1
20,Spectre,Troll Warlord,Pudge,Shadow Shaman,Witch Doctor,Nature's Prophet,Storm Spirit,Mirana,Batrider,Skeleton King,2
21,Phantom Lancer,Chaos Knight,Warlock,Venomancer,Batrider,Ogre Magi,Clinkz,Anti-Mage,Ursa,Bane,1
22,Slardar,Clinkz,Invoker,Lifestealer,Slark,Viper,Leshrac,Crystal Maiden,Magnus,Nature's Prophet,2
23,Enigma,Clockwerk,Juggernaut,Pudge,Sniper,Undying,Magnus,Rubick,Luna,Tidehunter,1
24,Slark,Gyrocopter,Batrider,Queen of Pain,Invoker,Treant Protector,Lone Druid,Puck,Death Prophet,Tiny,2
25,Ursa,Venomancer,Leshrac,Invoker,Luna,Troll Warlord,Treant Protector,Silencer,Tiny,Lina,1
26,Batrider,Troll Warlord,Crystal Maiden,Treant Protector,Juggernaut,Lion,Omniknight,Luna,Brewmaster,Puck,1
27,Lina,Mirana,Luna,Pudge,Enigma,Queen of Pain,Chen,Phantom Assassin,Witch Doctor,Windrunner,1
28,Magnus,Earthshaker,Brewmaster,Clinkz,Invoker,Riki,Wisp,Sven,Templar Assassin,Sand King,1
29,Chaos Knight,Wisp,Invoker,Lina,Ancient Apparition,Spectre,Doom,Magnus,Enchantress,Tiny,1
30,Enigma,Batrider,Disruptor,Beastmaster,Lifestealer,Morphling,Storm Spirit,Ogre Magi,Windrunner,Ursa,1
31,Ancient Apparition,Spectre,Troll Warlord,Pudge,Lone Druid,Batrider,Lich,Kunkka,Enigma,Silencer,1
32,Lifestealer,Outworld Devourer,Nyx Assassin,Undying,Shadow Shaman,Naga Siren,Lone Druid,Doom,Ogre Magi,Windrunner,1
33,Puck,Venomancer,Slardar,Lifestealer,Bloodseeker,Storm Spirit,Necrolyte,Lone Druid,Leshrac,Windrunner,2
34,Faceless Void,Storm Spirit,Enchantress,Troll Warlord,Ogre Magi,Templar Assassin,Brewmaster,Magnus,Luna,Spirit Breaker,2
35,Tinker,Lich,Windrunner,Faceless Void,Axe,Earthshaker,Pudge,Shadow Fiend,Nature's Prophet,Juggernaut,2
